Player,K-D,Swing,ADR,KAST,Rating3.0,Map,Scoreboard,Event,Date,Result,Opponent
Robin 'ropz' Kool,27-13,0.0552,140.5,85.00%,2.07,Inferno,1,BLAST Open Rotterdam 2026,29/03/26,W,Natus Vincere
Mathieu 'ZywOo' Herbaut,16-12,0.0667,88.2,70.00%,1.42,Inferno,2,BLAST Open Rotterdam 2026,29/03/26,W,Natus Vincere
Shahar 'flameZ' Shushan,13-14,0.0604,67.1,85.00%,1.36,Inferno,3,BLAST Open Rotterdam 2026,29/03/26,W,Natus Vincere
William 'mezii' Merriman,13-15,-2.84%,58.6,70.00%,0.79,Inferno,4,BLAST Open Rotterdam 2026,29/03/26,W,Natus Vincere
Dan 'apEX' Madesclaire,9-15,-5.23%,56.9,65.00%,0.64,Inferno,5,BLAST Open Rotterdam 2026,29/03/26,W,Natus Vincere
Robin 'ropz' Kool,19-12,0.0418,75,91.30%,1.44,Anubis,1,BLAST Open Rotterdam 2026,29/03/26,W,Natus Vincere
William 'mezii' Merriman,17-13,0.0573,95.2,73.90%,1.44,Anubis,2,BLAST Open Rotterdam 2026,29/03/26,W,Natus Vincere
Mathieu 'ZywOo' Herbaut,15-12,-0.05%,53.8,78.30%,1.04,Anubis,3,BLAST Open Rotterdam 2026,29/03/26,W,Natus Vincere
Dan 'apEX' Madesclaire,16-20,-0.12%,76.3,69.60%,0.98,Anubis,4,BLAST Open Rotterdam 2026,29/03/26,W,Natus Vincere
Shahar 'flameZ' Shushan,12-17,-3.81%,62,69.60%,0.73,Anubis,5,BLAST Open Rotterdam 2026,29/03/26,W,Natus Vincere
Robin 'ropz' Kool,19-15,0.0206,88.1,78.30%,1.33,Dust2,1,BLAST Open Rotterdam 2026,29/03/26,W,Natus Vincere
Mathieu 'ZywOo' Herbaut,16-8,0.0306,88.1,78.30%,1.26,Dust2,2,BLAST Open Rotterdam 2026,29/03/26,W,Natus Vincere
Dan 'apEX' Madesclaire,19-12,-0.84%,83.1,78.30%,1.15,Dust2,3,BLAST Open Rotterdam 2026,29/03/26,W,Natus Vincere
Shahar 'flameZ' Shushan,17-14,-2.41%,74.7,69.60%,1.06,Dust2,4,BLAST Open Rotterdam 2026,29/03/26,W,Natus Vincere
William 'mezii' Merriman,10-14,-1.65%,56.7,73.90%,0.86,Dust2,5,BLAST Open Rotterdam 2026,29/03/26,W,Natus Vincere
Mathieu 'ZywOo' Herbaut,30-7,0.1084,162.4,88.20%,2.53,Mirage,1,IEM Rio 2026,17/04/26,W,Natus Vincere
Dan 'apEX' Madesclaire,14-9,0.027,100.2,82.40%,1.5,Mirage,2,IEM Rio 2026,17/04/26,W,Natus Vincere
Shahar 'flameZ' Shushan,15-14,0.0309,92.8,82.40%,1.22,Mirage,3,IEM Rio 2026,17/04/26,W,Natus Vincere
Robin 'ropz' Kool,7-9,-0.11%,49.2,82.40%,0.9,Mirage,4,IEM Rio 2026,17/04/26,W,Natus Vincere
William 'mezii' Merriman,6-7,-0.65%,32.2,82.40%,0.83,Mirage,5,IEM Rio 2026,17/04/26,W,Natus Vincere
Dan 'apEX' Madesclaire,21-6,0.0858,105.1,94.70%,1.9,Dust2,1,IEM Rio 2026,17/04/26,W,Natus Vincere
Mathieu 'ZywOo' Herbaut,14-8,0.0622,82.6,84.20%,1.44,Dust2,2,IEM Rio 2026,17/04/26,W,Natus Vincere
Robin 'ropz' Kool,12-10,-1.14%,75.3,78.90%,1.14,Dust2,3,IEM Rio 2026,17/04/26,W,Natus Vincere
Shahar 'flameZ' Shushan,13-12,0.0116,75.5,89.50%,1.09,Dust2,4,IEM Rio 2026,17/04/26,W,Natus Vincere
William 'mezii' Merriman,10-11,-1.24%,64.5,68.40%,0.92,Dust2,5,IEM Rio 2026,17/04/26,W,Natus Vincere
Shahar 'flameZ' Shushan,26-19,0.0254,97.5,82.10%,1.5,Nuke,1,BLAST Rivals 2026 Season 1,03/05/26,W,Natus Vincere
William 'mezii' Merriman,26-17,0.0159,77.7,85.70%,1.38,Nuke,2,BLAST Rivals 2026 Season 1,03/05/26,W,Natus Vincere
Robin 'ropz' Kool,20-16,0.0184,63.5,85.70%,1.23,Nuke,3,BLAST Rivals 2026 Season 1,03/05/26,W,Natus Vincere
Mathieu 'ZywOo' Herbaut,18-17,0.01,74.8,82.10%,1.2,Nuke,4,BLAST Rivals 2026 Season 1,03/05/26,W,Natus Vincere
Dan 'apEX' Madesclaire,19-21,-1.09%,85.2,78.60%,1.07,Nuke,5,BLAST Rivals 2026 Season 1,03/05/26,W,Natus Vincere
Robin 'ropz' Kool,22-13,0.0773,86.6,75.00%,1.69,Anubis,1,BLAST Rivals 2026 Season 1,03/05/26,W,Natus Vincere
Shahar 'flameZ' Shushan,16-17,0.0154,76.2,58.30%,1.16,Anubis,2,BLAST Rivals 2026 Season 1,03/05/26,W,Natus Vincere
William 'mezii' Merriman,17-17,-1.08%,74.3,70.80%,1.09,Anubis,3,BLAST Rivals 2026 Season 1,03/05/26,W,Natus Vincere
Mathieu 'ZywOo' Herbaut,17-19,-1.75%,78.7,75.00%,0.98,Anubis,4,BLAST Rivals 2026 Season 1,03/05/26,W,Natus Vincere
Dan 'apEX' Madesclaire,12-18,-3.38%,54,58.30%,0.65,Anubis,5,BLAST Rivals 2026 Season 1,03/05/26,W,Natus Vincere
Mathieu 'ZywOo' Herbaut,19-9,0.1212,122.2,100.00%,2.18,Dust2,1,BLAST Rivals 2026 Season 1,03/05/26,W,Natus Vincere
Robin 'ropz' Kool,18-9,0.1102,105.8,81.20%,1.93,Dust2,2,BLAST Rivals 2026 Season 1,03/05/26,W,Natus Vincere
William 'mezii' Merriman,12-7,0.0389,71.1,81.20%,1.25,Dust2,3,BLAST Rivals 2026 Season 1,03/05/26,W,Natus Vincere
Shahar 'flameZ' Shushan,12-9,0.0116,75.1,68.80%,1.13,Dust2,4,BLAST Rivals 2026 Season 1,03/05/26,W,Natus Vincere
Dan 'apEX' Madesclaire,8-12,-4.90%,61.8,81.20%,0.8,Dust2,5,BLAST Rivals 2026 Season 1,03/05/26,W,Natus Vincere
Mathieu 'ZywOo' Herbaut,19-13,0.017,68.2,66.70%,1.28,Dust2,1,IEM Atlanta 2026,15/05/26,L,Natus Vincere
Shahar 'flameZ' Shushan,15-14,0.0421,66.4,70.80%,1.23,Dust2,2,IEM Atlanta 2026,15/05/26,L,Natus Vincere
Robin 'ropz' Kool,18-11,0.0092,72.6,79.20%,1.23,Dust2,3,IEM Atlanta 2026,15/05/26,L,Natus Vincere
William 'mezii' Merriman,15-15,-1.24%,77.4,75.00%,0.97,Dust2,4,IEM Atlanta 2026,15/05/26,L,Natus Vincere
Dan 'apEX' Madesclaire,8-17,-2.37%,60.2,70.80%,0.71,Dust2,5,IEM Atlanta 2026,15/05/26,L,Natus Vincere
Robin 'ropz' Kool,17-14,0.057,67.3,75.00%,1.25,Anubis,1,IEM Atlanta 2026,15/05/26,W,Natus Vincere
Mathieu 'ZywOo' Herbaut,15-14,0.0196,60.2,70.80%,1.04,Anubis,2,IEM Atlanta 2026,15/05/26,W,Natus Vincere
William 'mezii' Merriman,9-16,-1.92%,62.3,75.00%,0.8,Anubis,3,IEM Atlanta 2026,15/05/26,W,Natus Vincere
Shahar 'flameZ' Shushan,13-19,-2.50%,60.4,58.30%,0.74,Anubis,4,IEM Atlanta 2026,15/05/26,W,Natus Vincere
Dan 'apEX' Madesclaire,10-20,-8.03%,57.2,62.50%,0.52,Anubis,5,IEM Atlanta 2026,15/05/26,W,Natus Vincere
Dan 'apEX' Madesclaire,7-12,0.0035,52.2,56.20%,0.91,Inferno,1,IEM Atlanta 2026,15/05/26,L,Natus Vincere
Shahar 'flameZ' Shushan,10-13,-3.57%,63.2,68.80%,0.89,Inferno,2,IEM Atlanta 2026,15/05/26,L,Natus Vincere
Mathieu 'ZywOo' Herbaut,5-13,-4.03%,35.2,56.20%,0.54,Inferno,3,IEM Atlanta 2026,15/05/26,L,Natus Vincere
William 'mezii' Merriman,4-13,-8.08%,45.7,50.00%,0.48,Inferno,4,IEM Atlanta 2026,15/05/26,L,Natus Vincere
Robin 'ropz' Kool,1-12,-7.29%,24.2,62.50%,0.42,Inferno,5,IEM Atlanta 2026,15/05/26,L,Natus Vincere
