"Date","Event","Opponent","Map","Vitality.Score","Opponent.Score","W.L","Differential"
26-09-20,"StarLadder StarSeries Fall 2026","Aurora","Cache",13,7,"W",6
26-09-20,"StarLadder StarSeries Fall 2026","Aurora","Mirage",13,4,"W",9
26-09-20,"StarLadder StarSeries Fall 2026","Aurora","Inferno",11,13,"L",-2
26-09-20,"StarLadder StarSeries Fall 2026","Aurora","Anubis",13,4,"W",9
26-09-20,"StarLadder StarSeries Fall 2026","FURIA","Anubis",13,8,"W",5
26-09-20,"StarLadder StarSeries Fall 2026","FURIA","Cache",13,5,"W",8
26-09-19,"StarLadder StarSeries Fall 2026","Aurora","Nuke",8,13,"L",-5
26-09-19,"StarLadder StarSeries Fall 2026","Aurora","Inferno",13,11,"W",2
26-09-19,"StarLadder StarSeries Fall 2026","Aurora","Anubis",7,13,"L",-6
26-09-18,"StarLadder StarSeries Fall 2026","FURIA","Dust2",13,5,"W",8
26-09-18,"StarLadder StarSeries Fall 2026","FURIA","Mirage",13,8,"W",5
26-09-17,"StarLadder StarSeries Fall 2026","magic","Dust2",13,9,"W",4
26-09-17,"StarLadder StarSeries Fall 2026","magic","Mirage",13,6,"W",7
26-09-05,"BLAST Open Porto 2026","MOUZ","Mirage",7,13,"L",-6
26-09-05,"BLAST Open Porto 2026","MOUZ","Dust2",11,13,"L",-2
26-09-04,"BLAST Open Porto 2026","FURIA","Dust2",13,4,"W",9
26-09-04,"BLAST Open Porto 2026","FURIA","Cache",13,11,"W",2
26-09-04,"BLAST Open Porto 2026","FURIA","Nuke",6,13,"L",-7
26-08-31,"BLAST Open Porto 2026","FUT","Dust2",13,8,"W",5
26-08-31,"BLAST Open Porto 2026","FUT","Anubis",13,7,"W",6
26-08-30,"BLAST Open Porto 2026","Legacy","Dust2",13,8,"W",5
26-08-30,"BLAST Open Porto 2026","Legacy","Mirage",9,13,"L",-4
26-08-30,"BLAST Open Porto 2026","Legacy","Nuke",16,14,"W",2
26-08-29,"BLAST Open Porto 2026","9z","Nuke",13,6,"W",7
26-08-29,"BLAST Open Porto 2026","9z","Dust2",13,2,"W",11
26-08-27,"BLAST Open Porto 2026","Inner Circle","Cache",13,16,"L",-3
26-08-27,"BLAST Open Porto 2026","Inner Circle","Anubis",8,13,"L",-5
26-08-21,"Esports World Cup 2026","Spirit","Mirage",3,13,"L",-10
26-08-21,"Esports World Cup 2026","Spirit","Nuke",16,14,"W",2
26-08-21,"Esports World Cup 2026","Spirit","Anubis",11,13,"L",-2
26-08-20,"Esports World Cup 2026","FaZe","Cache",13,6,"W",7
26-08-20,"Esports World Cup 2026","FaZe","Dust2",13,11,"W",2
26-08-16,"Esports World Cup 2026","Lynn Vision","Inferno",13,5,"W",8
26-08-16,"Esports World Cup 2026","Lynn Vision","Dust2",13,2,"W",11
26-08-14,"Esports World Cup 2026","B8","Dust2",4,13,"L",-9
26-08-14,"Esports World Cup 2026","B8","Inferno",11,13,"L",-2
26-08-14,"Esports World Cup 2026","B8","Mirage",16,12,"W",4
26-08-12,"Esports World Cup 2026","100 Thieves","Nuke",13,4,"W",9
26-07-24,"BLAST Bounty 2026 Season 2","Liquid","Nuke",9,13,"L",-4
26-07-24,"BLAST Bounty 2026 Season 2","Liquid","Anubis",10,13,"L",-3
26-06-19,"IEM Cologne Major 2026","Falcons","Dust2",11,13,"L",-2
26-06-19,"IEM Cologne Major 2026","Falcons","Inferno",13,11,"W",2
26-06-19,"IEM Cologne Major 2026","Falcons","Anubis",11,13,"L",-2
26-06-14,"IEM Cologne Major 2026","BETBOOM","Nuke",13,11,"W",2
