Date,Event,Opponent,Map,Vitality Score,Opponent Score,W/L,Differential
20/09/26,StarLadder StarSeries Fall 2026,Aurora,Cache,13,7,W,6
20/09/26,StarLadder StarSeries Fall 2026,Aurora,Mirage,13,4,W,9
20/09/26,StarLadder StarSeries Fall 2026,Aurora,Inferno,11,13,L,-2
20/09/26,StarLadder StarSeries Fall 2026,Aurora,Anubis,13,4,W,9
20/09/26,StarLadder StarSeries Fall 2026,FURIA,Anubis,13,8,W,5
20/09/26,StarLadder StarSeries Fall 2026,FURIA,Cache,13,5,W,8
19/09/26,StarLadder StarSeries Fall 2026,Aurora,Nuke,8,13,L,-5
19/09/26,StarLadder StarSeries Fall 2026,Aurora,Inferno,13,11,W,2
19/09/26,StarLadder StarSeries Fall 2026,Aurora,Anubis,7,13,L,-6
18/09/26,StarLadder StarSeries Fall 2026,FURIA,Dust2,13,5,W,8
18/09/26,StarLadder StarSeries Fall 2026,FURIA,Mirage,13,8,W,5
17/09/26,StarLadder StarSeries Fall 2026,magic,Dust2,13,9,W,4
17/09/26,StarLadder StarSeries Fall 2026,magic,Mirage,13,6,W,7
05/09/26,BLAST Open Porto 2026,MOUZ,Mirage,7,13,L,-6
05/09/26,BLAST Open Porto 2026,MOUZ,Dust2,11,13,L,-2
04/09/26,BLAST Open Porto 2026,FURIA,Dust2,13,4,W,9
04/09/26,BLAST Open Porto 2026,FURIA,Cache,13,11,W,2
04/09/26,BLAST Open Porto 2026,FURIA,Nuke,6,13,L,-7
31/08/26,BLAST Open Porto 2026,FUT,Dust2,13,8,W,5
31/08/26,BLAST Open Porto 2026,FUT,Anubis,13,7,W,6
30/08/26,BLAST Open Porto 2026,Legacy,Dust2,13,8,W,5
30/08/26,BLAST Open Porto 2026,Legacy,Mirage,9,13,L,-4
30/08/26,BLAST Open Porto 2026,Legacy,Nuke,16,14,W,2
29/08/26,BLAST Open Porto 2026,9z,Nuke,13,6,W,7
29/08/26,BLAST Open Porto 2026,9z,Dust2,13,2,W,11
27/08/26,BLAST Open Porto 2026,Inner Circle,Cache,13,16,L,-3
27/08/26,BLAST Open Porto 2026,Inner Circle,Anubis,8,13,L,-5
21/08/26,Esports World Cup 2026,Spirit,Mirage,3,13,L,-10
21/08/26,Esports World Cup 2026,Spirit,Nuke,16,14,W,2
21/08/26,Esports World Cup 2026,Spirit,Anubis,11,13,L,-2
20/08/26,Esports World Cup 2026,FaZe,Cache,13,6,W,7
20/08/26,Esports World Cup 2026,FaZe,Dust2,13,11,W,2
16/08/26,Esports World Cup 2026,Lynn Vision,Inferno,13,5,W,8
16/08/26,Esports World Cup 2026,Lynn Vision,Dust2,13,2,W,11
14/08/26,Esports World Cup 2026,B8,Dust2,4,13,L,-9
14/08/26,Esports World Cup 2026,B8,Inferno,11,13,L,-2
14/08/26,Esports World Cup 2026,B8,Mirage,16,12,W,4
12/08/26,Esports World Cup 2026,100 Thieves,Nuke,13,4,W,9
24/07/26,BLAST Bounty 2026 Season 2,Liquid,Nuke,9,13,L,-4
24/07/26,BLAST Bounty 2026 Season 2,Liquid,Anubis,10,13,L,-3
19/06/26,IEM Cologne Major 2026,Falcons,Dust2,11,13,L,-2
19/06/26,IEM Cologne Major 2026,Falcons,Inferno,13,11,W,2
19/06/26,IEM Cologne Major 2026,Falcons,Anubis,11,13,L,-2
14/06/26,IEM Cologne Major 2026,BETBOOM,Nuke,13,11,W,2
14/06/26,IEM Cologne Major 2026,BETBOOM,Overpass,13,8,W,5
13/06/26,IEM Cologne Major 2026,MOUZ,Inferno,13,4,W,9
13/06/26,IEM Cologne Major 2026,MOUZ,Dust2,7,13,L,-6
13/06/26,IEM Cologne Major 2026,MOUZ,Mirage,13,9,W,4
12/06/26,IEM Cologne Major 2026,9z,Dust2,11,13,L,-2
12/06/26,IEM Cologne Major 2026,9z,Mirage,9,13,L,-4
12/06/26,IEM Cologne Major 2026,9z,Inferno,13,4,W,9
11/06/26,IEM Cologne Major 2026,FUT,Nuke,13,8,W,5
11/06/26,IEM Cologne Major 2026,FUT,Overpass,13,2,W,11
11/06/26,IEM Cologne Major 2026,FUT,Anubis,5,13,L,-8
15/05/26,IEM Atlanta 2026,Natus Vincere,Inferno,3,13,L,-10
15/05/26,IEM Atlanta 2026,Natus Vincere,Anubis,11,13,L,-2
15/05/26,IEM Atlanta 2026,Natus Vincere,Dust2,13,11,W,2
13/05/26,IEM Atlanta 2026,B8,Dust2,13,8,W,5
13/05/26,IEM Atlanta 2026,B8,Mirage,13,5,W,8
13/05/26,IEM Atlanta 2026,FaZe,Dust2,13,5,W,8
13/05/26,IEM Atlanta 2026,FaZe,Nuke,16,14,W,2
12/05/26,IEM Atlanta 2026,BETBOOM,Nuke,8,13,L,-5
12/05/26,IEM Atlanta 2026,BETBOOM,Overpass,13,8,W,5
12/05/26,IEM Atlanta 2026,BETBOOM,Anubis,10,13,L,-3
11/05/26,IEM Atlanta 2026,BC.Game,Dust2,13,10,W,3
11/05/26,IEM Atlanta 2026,BC.Game,Mirage,13,7,W,6
03/05/26,BLAST Rivals 2026 Season 1,Natus Vincere,Dust2,13,3,W,10
03/05/26,BLAST Rivals 2026 Season 1,Natus Vincere,Anubis,13,11,W,2
03/05/26,BLAST Rivals 2026 Season 1,Natus Vincere,Nuke,16,12,W,4
02/05/26,BLAST Rivals 2026 Season 1,GamerLegion,Overpass,16,14,W,2
02/05/26,BLAST Rivals 2026 Season 1,GamerLegion,Mirage,13,1,W,12
30/04/26,BLAST Rivals 2026 Season 1,G2,Dust2,13,3,W,10
30/04/26,BLAST Rivals 2026 Season 1,G2,Overpass,11,13,L,-2
30/04/26,BLAST Rivals 2026 Season 1,G2,Mirage,16,13,W,3
29/04/26,BLAST Rivals 2026 Season 1,FUT,Nuke,13,11,W,2
29/04/26,BLAST Rivals 2026 Season 1,FUT,Dust2,11,13,L,-2
29/04/26,BLAST Rivals 2026 Season 1,FUT,Mirage,13,6,W,7
19/04/26,IEM Rio 2026,Spirit,Dust2,13,5,W,8
19/04/26,IEM Rio 2026,Spirit,Nuke,13,10,W,3
19/04/26,IEM Rio 2026,Spirit,Mirage,16,13,W,3
18/04/26,IEM Rio 2026,FURIA,Ancient,13,10,W,3
18/04/26,IEM Rio 2026,FURIA,Overpass,13,10,W,3
